Mixed
0
0
64.42450944
5061.82017536
11.05199104
0
794.43787776
0
0
0
0
3712.75977124
0
0
2569.34078674
0
0
2545.50388988
0
0
1874.30288531
0
2045.21007314
0
7.38197504
436.60345344
0
0
0
0
4660.55691747
0
0
4340.55597287
0
0
0
3822.33362768
0
2414.84898472
0
0
0
0
3113.5827592
0
0
2760.29164775
0
0
0
3795.49518202
1850.26165907
560.8701952
0
0
0
0
131.62774528
4281.28216421
0
0
0
0
188.1669632
5113.30312696
0
4506.2546453
0
2446.36102908
0
0
2907.9389414
328.52410368
0
0
0
0
4403.41207502
0
0
2927.97248617
1361.47057811
0
2038.21359272
0
0
1961.52584402
0
0
0
2788.4561847
0
0
4.09993216
2814.22289022
0
0
3138.17710928
0
0
2224.78140605
64.96976896
458.65762816
10.0663296
0
0
0
0
0
3748.0810538
0
0
4958.38460198
750.1643776
0
0
0
0
5328.95298124
0
3582.1184021
0
0
2878.29562641
0
0
0
0
3586.40119183
531.890176
0
0
0
0
0
0
7110.29479009
0
0
0
5137.72496229
0
0
0
3608.66536763
0
0
838.51739136
0
1287.32051662
0
0
2815.42029724
0
0
2199.38591439
0
1607.52679118
1335.60744142
0
0
0
3745.77197468
0
1764.05035214
0
0
0
1963.03565826
222.04121088
0
0
236.22320128
18.11939328
3194.63886339
0
2727.04369052
0
0
4235.4910454
258.46874112
0
0
2147.20369973
0
4229.85985232
0
0
0
3492.48040758
1319.77796097
473.25380608
1593.3315236
0
0
3802.70529437
21.47483648
898.18923008
0
3305.89784989
0
0
0
1976.44973672
51.03419392
0
0
0
3098.65606352
35.39468288
0
0
474.48064
1780.26361858
0
0
365.92156672
3556.03548471
0
14.90026496
1297.11210496
1602.18535221
0
0
0
0
0
5628.197843
3298.24303924
0
1556.09202688
0
0
0
0
850.4999936
4872.11040671
0
2715.59307062
301.43152128
0
0
0
638.59851264
2314.26773097
0
4011.51313617
0
0
0
0
3718.94766493
0
0
0
4286.7685233
0
0
2621.95138665
1961.90666752
0
3012.50138217
0
908.26308404
0
2922.78399388
0
0
0
0
442.9971456
2996.28358864
1885.93280923
0
0
0
214.7483648
3036.7953224
0
1929.34491138
450.06454784
0
0
0
3366.50029981
0
0
0
0
0
3738.43248849
879.73691392
1762.56036576
0
0
2161.36881648
0
0
0
3308.83955968
0
1486.18438416
1714.1465088
0
0
2548.87269872
0
0
0
0
1267.41771952
389.1003392
0
0
277.60001024
3904.08842208
0
0
3690.95619888
0
3735.32071408
0
398.18887168
2661.8784696
282.82191872
0
2551.78810768
303.49983744
0
0
3381.7783224
0
224.22749184
472.4752384
3843.32514512
0
0
2193.06147456
0
1675.91183952
0
0
0
3388.88431088
0
1914.72746112
0
0
0
3018.87159552
0
0
0
3482.25568
0
0
0
0
3232.9256464
212.06401024
0
0
3425.8185144
0
0
2130.47983744
0
0
0
3244.14504192
0
0
2787.504268
0
0
0
3109.28243968
0
0
2814.07573536
0
0
2111.95973152
0
489.87111424
0
0
0
3204.74236112
0
0
3094.36083552
1623.1285936
0
0
3009.2299392
0
0
0
1963.87214832
1026.3461888
614.63068672
2220.81521136
57.71362304
0
0
4944.02470736
0
0
0
2642.32478096
0
0
0
3063.97572448
0
0
0
0
0
4234.16966112
0
0
0
179.69446912
3944.7087856
0
0
0
0
4196.26327104
0
0
2354.15438928
1415.38490032
12.75068416
0
1749.25292596
1398.14043516
0
2319.0450042
0
2549.41246988
0
0
0
3814.68784008
2822.25512788
0
0
2686.10961144
1864.11974524
0
1630.27840288
1547.51373784
0
0
0
0
0
3763.08741512
0
0
0
4604.30179956
0
0
0
273.2589056
3974.91914724
0
2632.34537576
0
2326.78770792
0
1.34217728
1031.44236084
0
0
0
0
0
0
0
4089.28901564
0
0
0
0
0
0
343.89098496
3044.69432896
0
0
0
3194.45195328
0
0
2039.57431584
0
0
1077.84709172
923.0300882
1773.66386792
0
0
259.6274176
0
0
2620.35603192
0
0
2160.07198824
219.46171392
0
0
1280.74973052
0
0
1292.00198104
0
0
161.93159168
0
0
0
1997.2139982
0
1628.84812668
0
1463.60565628
0
49.36695808
0
0
0
2304.6989858
0
0
733.04899584
0
1744.16059076
0
0
0
3215.03278604
0
0
0
1959.16482664
0
510.03260928
0
0
2441.3284386
0
0
992.3016402
0
0
1681.01637408
0
0
0
0
0
0
2465.35131476
2.5165824
0
0
0
