Total
3663
924
949
14294
5147
172125
2876
1662
1927
1540
1860
7288
6850
2258
4492
3416
3058
6315
3620
1165
24277
3805
4874
4672
6400
1980
2623
2252
1056
1577
7685
7273
2174
12558
3629
1263
1478
7187
4541
4194
2830
1341
1328
1469
5704
4165
1542
4976
5116
1950
1484
6835
11693
176682
3707
1703
1264
3447
2264
10882
4624
2217
2278
1748
2615
8753
5085
15008
3746
6408
4383
6730
177109
5598
3869
1653
1486
1529
10992
7199
2744
9147
174832
5055
9605
4829
10320
4387
3616
2619
2213
9519
4061
1859
1282
7757
2750
5514
8628
4311
5626
4983
7163
2933
1556
1184
1884
1241
7604
1650
6734
4520
1128
25459
9730
2366
1442
2732
1508
7869
9096
13104
4157
1903
7636
3862
1721
8694
2484
5312
7045
1561
1451
1999
1102
844
1071
12271
4555
6957
1388
7538
4340
1639
2521
10305
9939
1482
9204
2562
16018
5556
2972
5573
10540
1112
9502
4048
14427
17238
5322
3420
1785
13442
9361
6489
4970
2056
1370
10224
10788
1188
1480
1513
1199
10991
7917
22518
4826
3187
19325
8237
4608
4832
13070
4110
6891
4741
1738
2127
12336
7712
4052
5197
4221
1750
19235
8596
8712
5021
7455
4544
1854
5037
3407
3133
3173
2329
1334
9613
4768
1241
1275
5961
4498
3196
1171
2599
14987
18367
1664
3039
6831
3115
1768
1281
1663
4073
9284
22110
4500
8365
1554
14452
1158
1691
3146
6942
4724
5398
3715
1292
2066
1467
1896
4799
3262
7283
4498
3689
1126
1898
16022
5029
4509
1967
177015
4170
2265
4967
5857
172581
6367
4391
3115
5302
5523
3959
3025
955
7194
2854
6478
7809
2516
946
2389
2557
6863
5411
3814
11399
1099
1265
5232
10909
5046
1505
2039
2278
1976
6037
179336
3731
3136
1072
8203
4269
1327
1637
176356
6165
6781
7050
2878
2139
4891
3261
1031
5323
1699
3075
6950
1370
965
1898
6901
174051
2006
177231
175197
6626
17537
1787
4441
5045
1132
174679
4006
1541
1102
192419
7862
1449
3427
10827
181253
1626
174491
4146
4498
3334
1181
1596
5703
21165
12498
2906
1474
1879
5075
4454
1172
1396
7548
8878
1069
1265
1317
4918
7346
3533
2246
12734
6906
1319
6908
174008
1335
1121
19493
5308
1485
8940
2950
4558
1048
5429
173915
4454
5268
4242
3125
6904
6989
9270
2107
1138
1562
6493
7894
2012
6244
6712
2023
21734
9410
4469
3059
3180
5568
7513
2922
5431
3768
969
1945
8021
4642
2969
2075
11000
3626
882
1633
4966
3104
1706
1597
2366
2348
6239
17919
2042
9200
1351
6025
16866
1410
1141
2949
9451
5525
1974
7013
5534
2505
7724
9933
5450
3371
22727
3434
19137
3699
1371
945
6042
7383
3821
2280
12722
181515
6502
7327
7362
3745
1515
10446
3101
1989
5933
5180
943
5629
8419
5257
2887
1668
2401
8892
7763
13407
3778
4818
4651
171392
2382
2670
1754
1892
3642
4491
2068
1127
7105
5577
2469
2753
1356
1059
1745
2855
5537
4661
1519
2054
11944
5512
2876
4970
3890
10279
3393
175519
188284
5304
2109
5772
2023
2039
175020
4647
1646
178020
6607
11048
1759
12421
4742
2033
7281
3411
1428
1148
1933
2540
5236
5233
4622
4038
3771
3913
4044
2364
1457
1123
1547
6750
5699
1947
2740
1811
3726
3679
1273
2151
5567
3353
1488
1100
9512
4897
173801
1978
2133
180426
176324
11413
175031
1780
1737
7975
3015
910
1448
1331
1304
2165
5019
4121
1566
1145
1208
174080
4072
1728
3409
2424
2885
173361
1082
15578
2528
3509
175170
9542
2624
1632
14139
9342
2539
1479
1611
169924
4690
4861
2114
11682
171855
1279
1089
1399
4991
1291
994
8242
14818
5841
1140
4590
3803
1508
1749
1917
5922
5226
1801
3823
2793
1575
6776
4363
3355
8504
957
17100
3983
1312
1211
1666
1905
6274
3700
3815
2883
1071
1243
1403
6767
4139
2123
2496
20288
2927
1738
5487
4798
3518
1123
5764
2772
1723
8394
4668
6292
171809
1456
184171
7239
2386
898
1230
4353
3158
1397
3269
1912
